id,x,y,centroid,geometry,elevation
1,-0.9850145475990636,-3.092454727382145,1,POINT (83514.38281 450414.25),0.0
2,-0.958774559897232,-3.1101304149846087,1,POINT (87433.92969 447491.8438),0.0
3,-0.96360538524331,-3.1415527753200228,1,POINT (86444.21094 442695.5313),0.0
4,-0.9775502696665634,-3.142258230216234,1,POINT (84281.92969 442695.5313),0.0
5,-0.9968558495986176,-3.12716220742936,1,POINT (81413.66406 445168.9375),0.0
6,-1.0021739758429458,-3.107981189022892,1,POINT (80740.95313 448160.9063),0.0
7,-0.9962397264684588,-3.0956752432131944,1,POINT (81754.23438 450006.8125),0.0
8,-0.9808925652429475,-3.09907132922328,1,POINT (84100.17969 449364.6563),0.0
9,-0.9745536795989131,-3.105898713558939,1,POINT (85027.17188 448265.3125),0.0
10,-0.979175335730014,-3.1087289090103254,1,POINT (84290.72656 447866.0625),0.0
11,-0.977170236873997,-3.111135218308309,1,POINT (84582.0625 447480.3438),0.0
12,-0.98311593797394,-3.112827316703833,1,POINT (83649.67969 447266.4688),0.0
13,-0.9879063139115964,-3.114545241997159,1,POINT (82895.6875 447039.6563),0.0
14,-0.9677148009771728,-3.117912713803985,1,POINT (85991.51635 446364.2945),0.0
15,-0.9864553232144464,-3.124276151339793,1,POINT (83044.39844 445531.5313),0.0
16,-0.97862507126151,-3.122543109066276,1,POINT (84268.64844 445737),0.0
17,-0.9758042784133962,-3.120540076560522,1,POINT (84720.35156 446023.125),0.0
18,-0.9699230691169098,-3.12030921411902,1,POINT (85631.52344 446012.8438),0.0
19,-0.9857004639086052,-3.13517831834666,1,POINT (83076.39418 443848.4508),0.0
20,-0.9758951650460672,-3.132136568822938,1,POINT (84616.39844 444239.9063),0.0
21,-0.9711518309390476,-3.130753430012824,1,POINT (85360.65625 444415.75),0.0
22,-0.9665837971760728,-3.129929905243619,1,POINT (86073.45313 444506.9063),0.0
23,-0.9704777694087122,-3.096609300984046,1,POINT (85729.1875 449662.125),0.0
24,-0.9619633026104158,-3.1168091852591537,1,POINT (86889.34375 446489.3438),0.0
25,-0.961090195815546,-3.122835275212386,1,POINT (86977.80469 445555.625),0.0
4874,-0.9846169687317136,-3.1092262636833063,0,POINT (83445.57813 447832.0313),0.0
4886,-0.9847863506341192,-3.109488850658301,0,POINT (83417.35156 447792.9688),0.0
5001,-0.9782704866820572,-3.098681506950182,0,POINT (84508.53125 449404.1563),0.0
5002,-0.981338954316175,-3.103762142126238,0,POINT (83994.77344 448646.7813),0.0
5004,-0.9741982245556436,-3.1105596073967834,0,POINT (85046.01563 447545.7188),0.0
5005,-0.9739833533953376,-3.1102734112202866,0,POINT (85081.45313 447588.0625),0.0
5008,-0.96674711952838,-3.114810266138928,0,POINT (86165.13281 446833.9688),0.0
5009,-0.9666205167287156,-3.1147108145038107,0,POINT (86185.47656 446848.2813),0.0
5010,-0.965621220774088,-3.121769802836757,0,POINT (86285.40625 445754.7188),0.0
5011,-0.9791163361209118,-3.116629416402024,0,POINT (84238.5625 446650.4688),0.0
5012,-0.9813684882924548,-3.109075833882844,0,POINT (83948.96875 447829.8125),0.0
5013,-0.9917816652303704,-3.1155244727411464,0,POINT (82288.89063 446919.3438),0.0
5014,-0.9809222563318956,-3.094306209961568,0,POINT (84132.5625 450097.625),0.0
5015,-0.9807627539651604,-3.0942375568440994,0,POINT (84157.75 450106.9375),0.0
5016,-0.9862677933522064,-3.115230817817871,0,POINT (83143.69531 446921.4063),0.0
5017,-0.9726284043247932,-3.1135103749451,0,POINT (85265.86719 447079.6563),0.0
