,id,a_node,b_node,length,road_type,geometry,capacity_cars,type_bike,speed_car,speed_bike,free_flow_time_car
497,106712,6784,6778,328.19447,16,"LINESTRING (83475.640625 446791.40625, 83217 446589.375)",,None,,15,
498,106731,6781,6785,234.11107,10,"LINESTRING (83389.6484375 446756.71875, 83204.625 446613.28125)",1200.0,None,35.0,15,24.07999577142857
499,106732,6785,6781,234.11107,10,"LINESTRING (83389.6484375 446756.71875, 83204.625 446613.28125)",1200.0,None,35.0,15,24.07999577142857
500,106741,6784,6785,26.91931,10,"LINESTRING (83217 446589.375, 83204.625 446613.28125)",1200.0,None,35.0,15,2.7688433142857143
501,106742,6785,6784,26.91931,10,"LINESTRING (83217 446589.375, 83204.625 446613.28125)",1200.0,None,35.0,15,2.7688433142857143
502,106772,6786,6784,339.29858,8,"LINESTRING (83217 446589.375, 82919.1796875 446426.8125)",1800.0,None,50.0,15,24.42949776
503,106801,6785,6787,340.74637,8,"LINESTRING (83204.625 446613.28125, 82905.15625 446450.71875)",1800.0,None,50.0,15,24.53373864
504,106811,6786,6787,27.715799999999998,10,"LINESTRING (82919.1796875 446426.8125, 82905.15625 446450.71875)",1200.0,None,35.0,15,2.850768
505,106812,6787,6786,27.715799999999998,10,"LINESTRING (82919.1796875 446426.8125, 82905.15625 446450.71875)",1200.0,None,35.0,15,2.850768
506,106841,6787,6788,272.74132000000003,8,"LINESTRING (82905.15625 446450.71875, 82665.0859375 446321.28125)",1800.0,None,50.0,15,19.637375040000002
507,106882,6789,6786,375.07537,8,"LINESTRING (82919.1796875 446426.8125, 82590.015625 446247)",1800.0,None,50.0,15,27.00542664
508,106901,6788,6790,101.89386,8,"LINESTRING (82665.0859375 446321.28125, 82575.15625 446273.375)",1800.0,None,50.0,15,7.33635792
509,106911,6789,6790,30.27279,10,"LINESTRING (82590.015625 446247, 82575.15625 446273.375)",1200.0,None,35.0,15,3.113772685714286
510,106912,6790,6789,30.27279,10,"LINESTRING (82590.015625 446247, 82575.15625 446273.375)",1200.0,None,35.0,15,3.113772685714286
511,107011,5504,6794,277.94319,10,"LINESTRING (82700.40625 445701.75, 82660.4765625 445813.25, 82628.2578125 445943.59375, 82649.40625 445957.375)",1200.0,None,35.0,15,28.5884424
512,107012,6794,5504,277.94319,10,"LINESTRING (82700.40625 445701.75, 82660.4765625 445813.25, 82628.2578125 445943.59375, 82649.40625 445957.375)",1200.0,None,35.0,15,28.5884424
513,107051,5416,6795,364.68139,7,"LINESTRING (82016.7734375 446055.84375, 82359.0078125 446181.8125)",2200.0,None,70.0,15,18.755042914285713
514,107052,6795,5416,364.68139,7,"LINESTRING (82016.7734375 446055.84375, 82359.0078125 446181.8125)",2200.0,None,70.0,15,18.755042914285713
515,107091,6795,6796,80.87736,8,"LINESTRING (82359.0078125 446181.8125, 82400.9609375 446198.21875, 82434.90625 446186.75)",1800.0,None,50.0,15,5.82316992
516,107092,6796,6795,80.87736,8,"LINESTRING (82359.0078125 446181.8125, 82400.9609375 446198.21875, 82434.90625 446186.75)",1800.0,None,50.0,15,5.82316992
517,107131,6790,6798,112.14506,8,"LINESTRING (82575.15625 446273.375, 82471.2109375 446231.28125)",1800.0,None,50.0,15,8.07444432
518,107151,6797,6798,160.89933000000002,10,"LINESTRING (82434.90625 446388.03125, 82471.2109375 446231.28125)",1200.0,None,35.0,15,16.54964537142857
519,107152,6798,6797,160.89933000000002,10,"LINESTRING (82434.90625 446388.03125, 82471.2109375 446231.28125)",1200.0,None,35.0,15,16.54964537142857
520,107171,6788,6799,176.64094,10,"LINESTRING (82665.0859375 446321.28125, 82564.4296875 446466.4375)",1200.0,None,35.0,15,18.168782399999998
521,107172,6799,6788,176.64094,10,"LINESTRING (82665.0859375 446321.28125, 82564.4296875 446466.4375)",1200.0,None,35.0,15,18.168782399999998
522,107221,6799,6801,139.28258,10,"LINESTRING (82564.4296875 446466.4375, 82621.1640625 446507.28125, 82682.40625 446539.875)",1200.0,None,35.0,15,14.32620822857143
523,107222,6801,6799,139.28258,10,"LINESTRING (82564.4296875 446466.4375, 82621.1640625 446507.28125, 82682.40625 446539.875)",1200.0,None,35.0,15,14.32620822857143
524,107251,6795,6802,266.90166999999997,10,"LINESTRING (82359.0078125 446181.8125, 82345.7109375 446221.34375, 82397.9765625 446366.9375, 82427.484375 446430.96875)",1200.0,None,35.0,15,27.452743199999997
525,107252,6802,6795,266.90166999999997,10,"LINESTRING (82359.0078125 446181.8125, 82345.7109375 446221.34375, 82397.9765625 446366.9375, 82427.484375 446430.96875)",1200.0,None,35.0,15,27.452743199999997
