,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge
0,0,48.0,0.0,,,,
1,0,47.0,1.0,83.70179601094384,16.298203989056166,28.0,828.5430339697367
2,1,46.0,2.0,83.96839424162017,16.031605758379833,40.0,895.1142339284723
3,2,45.0,3.0,83.98256231859396,16.017437681406033,26.0,926.6501774874123
4,3,44.0,4.0,83.98584338709853,16.014156612901477,1.0,692.5557800810174
5,4,43.0,5.0,83.99466126796482,16.005338732035177,39.0,752.964892071642
6,5,42.0,6.0,84.00898856499963,15.991011435000383,12.0,811.2908906368165
7,6,41.0,7.0,84.01214720106493,15.987852798935073,2.0,1015.5100643701732
8,7,40.0,8.0,84.01645297169817,15.983547028301828,46.0,1164.1868361684146
9,8,39.0,9.0,84.01914472965751,15.980855270342486,36.0,668.3900792462655
10,9,38.0,10.0,84.01921698506573,15.98078301493427,27.0,855.3627618173059
11,10,37.0,11.0,84.02152906835546,15.978470931644539,32.0,448.36090579314765
12,11,36.0,12.0,84.02266630656042,15.977333693439572,20.0,1122.9013061531157
13,12,35.0,13.0,84.02529166151875,15.974708338481241,34.0,844.0555570231149
14,13,34.0,14.0,84.03013178769424,15.969868212305757,45.0,1040.0189957289333
15,14,33.0,15.0,84.03119122580378,15.96880877419622,7.0,1194.8574320497773
16,15,32.0,16.0,84.03077963579942,15.96922036420059,8.0,1187.9244334064022
17,16,31.0,17.0,84.03862593025205,15.961374069747942,21.0,803.422092825266
18,17,30.0,18.0,84.04884740441526,15.951152595584759,19.0,1216.8897562356947
19,18,29.0,19.0,84.04976521471245,15.95023478528756,15.0,1040.6765672381644
20,19,28.0,20.0,84.04850981472349,15.951490185276516,35.0,1718.9875590971294
21,20,27.0,21.0,84.06664324846146,15.933356751538543,11.0,1727.4856686505782
22,21,26.0,22.0,84.07300712471488,15.926992875285118,13.0,963.0480871327518
23,22,25.0,23.0,84.07015279846554,15.92984720153446,18.0,1935.208238206471
24,23,24.0,24.0,84.08263469818844,15.917365301811556,14.0,751.7803752822047
25,24,23.0,25.0,84.08878525029513,15.911214749704875,22.0,1636.4292837559342
26,25,22.0,26.0,84.10413445096042,15.895865549039575,30.0,1803.0810335318515
27,26,21.0,27.0,84.12592035958052,15.874079640419477,42.0,1492.0739212946974
28,27,20.0,28.0,84.1399427419362,15.860057258063797,43.0,1843.8128242136436
29,28,19.0,29.0,84.155655580683,15.844344419317002,16.0,2081.0820939327737
30,29,18.0,30.0,84.16919831480449,15.83080168519552,4.0,1389.6069012672087
31,30,17.0,31.0,84.18528730327985,15.814712696720154,33.0,2218.3176182527477
32,31,16.0,32.0,84.21060360746651,15.7893963925335,5.0,2975.7272665068367
33,32,15.0,33.0,84.25602401611245,15.743975983887543,31.0,2683.8916787871613
34,33,14.0,34.0,84.27449845290208,15.725501547097926,17.0,1549.144330685936
35,34,13.0,35.0,84.29741000063635,15.702589999363644,29.0,2074.6056574007666
36,35,12.0,36.0,84.3262228472287,15.67377715277129,25.0,1249.8844270780223
37,36,11.0,37.0,84.33719331418735,15.662806685812669,41.0,5467.837504196197
38,37,10.0,38.0,84.36450159517624,15.635498404823773,37.0,4747.0465867699795
39,38,9.0,39.0,84.39597110489807,15.604028895101926,44.0,4042.604759257217
40,39,8.0,40.0,84.48535596629057,15.514644033709423,47.0,3947.015379362767
41,40,7.0,41.0,84.51997819090022,15.480021809099789,38.0,3986.071972883309
42,41,6.0,42.0,84.53899059696548,15.461009403034524,23.0,4606.495496343724
43,42,5.0,43.0,84.62444929572771,15.375550704272287,9.0,4337.982501091682
44,43,4.0,44.0,84.66665280800683,15.333347191993171,6.0,4776.9109052825
45,44,3.0,45.0,84.6971246865963,15.3028753134037,3.0,4943.341786780607
46,45,2.0,46.0,84.75647089388077,15.243529106119224,10.0,5739.328941452984
47,46,1.0,47.0,84.82279166581674,15.177208334183264,24.0,4271.039986082376
48,47,0.0,48.0,84.87835824223524,15.121641757764747,0.0,4133.5721015127365
