,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,99.99548705849524,0.004512941504756274,[1],0.0,0.3916666666666666
2,1,46.0,2.0,99.99551067577498,0.004489324225013826,[25],0.0,0.3999999999999999
3,2,45.0,3.0,99.99551144206927,0.004488557930717799,[42],0.0,0.40833333333333327
4,3,44.0,4.0,99.99551174053201,0.004488259467995213,[26],0.0,0.4166666666666667
5,4,43.0,5.0,99.99551230219646,0.004487697803537242,[20],0.0,0.425
6,5,42.0,6.0,99.99551746993232,0.004482530067675791,[27],0.0,0.4333333333333333
7,6,41.0,7.0,99.99551757567042,0.004482424329576174,[19],0.0,0.4416666666666666
8,7,40.0,8.0,99.99552863543464,0.004471364565358113,[11],0.0,0.44999999999999996
9,8,39.0,9.0,99.99553049474618,0.004469505253825901,[10],0.0,0.4583333333333333
10,9,38.0,10.0,99.99553033569127,0.004469664308723229,[22],0.0,0.4666666666666666
11,10,37.0,11.0,99.99553028039165,0.0044697196083624624,[13],0.0,0.4749999999999999
12,11,36.0,12.0,99.99553719319847,0.004462806801530596,[3],0.0,0.48333333333333334
13,12,35.0,13.0,99.99556374460383,0.004436255396171598,[39],0.0,0.4916666666666667
14,13,34.0,14.0,99.99556395894253,0.0044360410574730835,[45],0.0,0.5
15,14,33.0,15.0,99.99557442311709,0.004425576882921678,[8],0.0,0.5083333333333333
16,15,32.0,16.0,99.99558058239214,0.00441941760785997,[9],0.0,0.5166666666666666
17,16,31.0,17.0,99.99558169985589,0.0044183001441146,[16],0.0,0.5249999999999999
18,17,30.0,18.0,99.99559057973387,0.0044094202661296425,[18],0.0,0.5333333333333333
19,18,29.0,19.0,99.99560387631622,0.004396123683778177,[30],3.970472172274745e-262,0.5416666666666666
20,19,28.0,20.0,99.99560894052053,0.004391059479488221,[37],0.0,0.5541666666666667
21,20,27.0,21.0,99.99561606484872,0.004383935151285485,[36],0.0,0.5625
22,21,26.0,22.0,99.99562216153161,0.0043778384683845085,[34],0.0,0.5708333333333333
23,22,25.0,23.0,99.99563092015508,0.004369079844922795,[32],0.0,0.5791666666666666
24,23,24.0,24.0,99.99564414898212,0.004355851017870789,[40],1.1073586853971063e-88,0.5875
25,24,23.0,25.0,99.99564468029092,0.004355319709078146,[43],2.2706052398411488e-262,0.5958333333333333
26,25,22.0,26.0,99.99566419910533,0.004335800894657812,[23],1.322303434902449e-88,0.6041666666666666
27,26,21.0,27.0,99.99566425330366,0.004335746696338174,[15],5.101035882926658e-262,0.6124999999999999
28,27,20.0,28.0,99.99566627377324,0.004333726226748689,[28],0.05950354326808276,0.6208333333333333
29,28,19.0,29.0,99.99566659194544,0.004333408054568763,[14],4.8340602419214214e-175,0.6291666666666667
30,29,18.0,30.0,99.99567957632837,0.004320423671620251,[47],0.06947213534169068,0.6375000000000001
31,30,17.0,31.0,99.99569900784874,0.00430099215125216,[41],4.686573959714291e-175,0.6458333333333334
32,31,16.0,32.0,99.99569968956718,0.004300310432825232,[24],0.1604199978489101,0.6541666666666667
33,32,15.0,33.0,99.99576646162438,0.004233538375606831,[17],4.931546056057854e-262,0.6625
34,33,14.0,34.0,99.99577011371383,0.004229886286168522,[5],0.1494150274675683,0.6708333333333334
35,34,13.0,35.0,99.99583643363492,0.004163566365077395,[12],0.08758887318626309,0.6791666666666667
36,35,12.0,36.0,99.99583599963519,0.00416400036481485,[38],0.13886590459699436,0.6875
37,36,11.0,37.0,99.99589550094028,0.004104499059729419,[7],0.1625988728594817,0.6958333333333333
38,37,10.0,38.0,99.99596498553299,0.004035014467013532,[21],0.1513672577946611,0.7041666666666666
39,38,9.0,39.0,99.99602785576862,0.003972144231377333,[35],0.1412510561193829,0.7124999999999999
40,39,8.0,40.0,99.99608822162095,0.0039117783790484665,[44],0.18090612045095364,0.7208333333333332
41,40,7.0,41.0,99.99616944911203,0.003830550887962052,[46],0.16789068609832541,0.7291666666666666
42,41,6.0,42.0,99.99624727822304,0.0037527217769591707,[48],0.15545126195738204,0.7374999999999999
43,42,5.0,43.0,99.99631415149618,0.0036858485038246814,[2],0.1839975816264287,0.7458333333333332
44,43,4.0,44.0,99.99639751142911,0.0036024885709066597,[4],0.170717259732763,0.7541666666666668
45,44,3.0,45.0,99.996477390535,0.003522609465002901,[6],0.15802073139272674,0.7625000000000001
46,45,2.0,46.0,99.99654506716053,0.003454932839472907,[29],0.26096727953878607,0.7708333333333334
47,46,1.0,47.0,99.99670730317318,0.0032926968268130975,[31],0.23511265792567593,0.7833333333333333
48,47,0.0,48.0,99.99680757090708,0.00319242909292316,[33],0.21920404999674328,0.7916666666666666
