,iteration,nbr_bike_lanes,nbr_none_bike_lanes,modal_share_car,modal_share_bike,index_removed,flow_of_removed_edge,average_bi_coef
0,0,48.0,0.0,,,,,
1,0,47.0,1.0,86.31188027367386,13.688119726326148,[1],0.0,0.3916666666666666
2,1,46.0,2.0,86.344308083358,13.655691916642008,[25],0.0,0.3999999999999999
3,2,45.0,3.0,86.34491125100477,13.655088748995233,[19],0.0,0.40833333333333327
4,3,44.0,4.0,86.35972733106891,13.640272668931082,[26],0.0,0.4166666666666667
5,4,43.0,5.0,86.36273685053041,13.637263149469595,[20],0.0,0.425
6,5,42.0,6.0,86.36960641366956,13.63039358633045,[27],0.0,0.4333333333333333
7,6,41.0,7.0,86.37065272015369,13.629347279846327,[18],0.0,0.4416666666666666
8,7,40.0,8.0,86.37859289991746,13.62140710008253,[16],0.0,0.44999999999999996
9,8,39.0,9.0,86.38842319740145,13.611576802598544,[11],0.0,0.4583333333333333
10,9,38.0,10.0,86.39005403878593,13.609945961214065,[42],0.0,0.4666666666666666
11,10,37.0,11.0,86.39074461725149,13.609255382748517,[10],0.0,0.4749999999999999
12,11,36.0,12.0,86.39085598897707,13.60914401102293,[3],0.0,0.4833333333333332
13,12,35.0,13.0,86.43020549335588,13.569794506644126,[40],0.0,0.49166666666666664
14,13,34.0,14.0,86.43143741616855,13.568562583831447,[22],0.0,0.5
15,14,33.0,15.0,86.4319199532112,13.568080046788788,[39],0.0,0.5083333333333333
16,15,32.0,16.0,86.43274212281514,13.567257877184852,[8],0.0,0.5166666666666666
17,16,31.0,17.0,86.44409381833218,13.555906181667826,[9],0.0,0.5249999999999999
18,17,30.0,18.0,86.44513902617696,13.554860973823033,[13],0.0,0.5333333333333333
19,18,29.0,19.0,86.46004613713166,13.53995386286834,[30],1.1299587960154467e-258,0.5416666666666666
20,19,28.0,20.0,86.46725897939353,13.532741020606462,[37],0.0,0.5541666666666667
21,20,27.0,21.0,86.47503792274762,13.52496207725238,[34],0.0,0.5625
22,21,26.0,22.0,86.4843206163218,13.515679383678208,[32],0.0,0.5708333333333333
23,22,25.0,23.0,86.49547467253018,13.504525327469816,[45],4.0782577075780993e-85,0.5791666666666666
24,23,24.0,24.0,86.50878084475676,13.491219155243256,[43],8.031036550807952e-259,0.5875
25,24,23.0,25.0,86.53769170719008,13.462308292809922,[36],0.0,0.5958333333333333
26,25,22.0,26.0,86.55225054098477,13.447749459015226,[15],4.39383895780141e-85,0.6041666666666666
27,26,21.0,27.0,86.55472824026135,13.445271759738631,[23],9.177183994089213e-259,0.6124999999999999
28,27,20.0,28.0,86.55483195770259,13.445168042297414,[28],200.4597467449144,0.6208333333333333
29,28,19.0,29.0,86.55536061809032,13.444639381909692,[14],1.6287784249281662e-171,0.6291666666666667
30,29,18.0,30.0,86.57562177822898,13.424378221771022,[41],230.8037960670624,0.6375000000000001
31,30,17.0,31.0,86.57604546474298,13.423954535257016,[47],1.5840401889565535e-171,0.6458333333333334
32,31,16.0,32.0,86.60509455956215,13.39490544043785,[48],524.8696090393566,0.6541666666666667
33,32,15.0,33.0,86.66015832787922,13.339841672120778,[44],516.0406972877895,0.6625000000000001
34,33,14.0,34.0,86.72234760245627,13.277652397543738,[46],506.1106626611608,0.6708333333333334
35,34,13.0,35.0,86.75380314208651,13.246196857913475,[2],526.3525366172581,0.6791666666666667
36,35,12.0,36.0,86.8093527656281,13.19064723437188,[4],517.4355755477993,0.6875
37,36,11.0,37.0,86.87145616826788,13.128543831732124,[6],507.4709668140579,0.6958333333333333
38,37,10.0,38.0,86.90042837911027,13.099571620889733,[5],545.1911238897486,0.7041666666666666
39,38,9.0,39.0,86.9534891791277,13.046510820872303,[12],536.863098587987,0.7125
40,39,8.0,40.0,86.9989863278868,13.00101367211321,[17],340.88265797764785,0.7208333333333332
41,40,7.0,41.0,87.00395375810889,12.996046241891113,[24],0.0,0.7291666666666666
42,41,6.0,42.0,87.00400388821198,12.995996111788019,[38],529.1376102249268,0.7374999999999999
43,42,5.0,43.0,87.05227688287496,12.947723117125044,[7],546.2456125069979,0.7458333333333332
44,43,4.0,44.0,87.10121002509626,12.898789974903737,[21],538.3050051220528,0.7541666666666668
45,44,3.0,45.0,87.14695487053923,12.853045129460769,[35],530.9846684250033,0.7625000000000001
46,45,2.0,46.0,87.19479702415603,12.805202975843969,[29],1044.8097401753878,0.7708333333333334
47,46,1.0,47.0,87.330973878807,12.669026121193,[31],1023.0214434312329,0.7833333333333333
48,47,0.0,48.0,87.42116311121974,12.578836888780254,[33],1008.5911662451934,0.7916666666666666
